Auteur; Titre; Chapitre; Lieu; Adresse; Arrondissement; Géoréférencement ; Qualification ; Personnages ; Indication ; Typologie ; Rive ; Attribut
Zola; Nanà; X; ristorante da Laura; Rue des Martyrs; 18; 48.882346, 2.339686; restaurant; Nanà, Satin, signora Robert; inexacte; vécu; droite; fictif
Zola; Nanà; X; chez Nanà; avenue de Villiers; 17; 48.883235, 2.306841; maison; Nanà, Muffat; inexacte; vécu; droite; fictif
Zola; Nanà; X; ristorante da Laura; Rue des Martyrs; 18; 48.882346, 2.339686; restaurant; Nanà, Daguenet; inexacte; vécu; droite; fictif
Zola; Nanà; X; chez Nanà; avenue de Villiers; 17; 48.883235, 2.306841; maison; Nanà, Muffat, fratelli Hugon, Satin, conte Vandeuvres, Labordette, Franco, Zoe; inexacte; vécu; droite; fictif
Zola; Nanà; X; pensione mamma Josse; rue Polanceau; 18; 48.885956, 2.351431; pension; Nanà, Satin; inexacte; cité; droite; fictif
Zola; Nanà; XI; Gran Prix de Paris; Bois de Boulogne; 16; 48.864093, 2.248258; jardin publique; Nanà, i Mignon, Giorgio, Filippo, Luigino, Labordette, Gagà, Clarissa, Bianca Sivry, Tatan Néné, Maria Blond, Carolina Héquet, Luisa Violaine, Lea de Horn, signora Tricon, Lafaloise, Muffat, Vandeuvres, Bordenave, Steiner; inexacte; vécu; droite; réel
Zola; Nanà; XI; Bal Mabille; 49 Avenue Montaigne; 8; 48.867762, 2.307305; bal; Nanà; exact; vécu; droite; réel
Zola; Nanà; XI; chez Nanà; Avenue de Villiers; 17; 48.883235, 2.306841; maison; Nanà, signora Lerat, Labordette; inexacte; vécu; droite; fictif
Zola; Nanà; XII; chez Nanà; Avenue de Villiers; 17; 48.883235, 2.306841; maison; Nanà, Muffat, Zoe; inexacte; vécu; droite; fictif
Zola; Nanà; XII; chez Muffat; rue Miromesnil; 8; 48.873117, 2.315896; maison; Muffat, Contessa Muffat, signora Joucquoy, signora Chautereau, signora Chezelles, Steiner, Foucarmont, Lafaloise, Nanà, Daguenet, Estella, Giorgio, Filippo, Venot, marchese Chouard, Fauchery; inexacte; vécu; droite; fictif
Zola; Nanà; XII; chez Nanà; Avenue de Villiers; 17; 48.883235, 2.306841; maison; Nanà, Daguenet, Zoe; inexacte; vécu; droite; fictif
Zola; Nanà; XIII; chez Nanà; Avenue de Villiers; 17; 48.883235, 2.306841; maison; Nanà, Muffat, Zoe, Filippo, Giorgio, Labordette, signora Hugon; inexacte; vécu; droite; fictif
Zola; Nanà; XIII; chez Hugon; rue Richelieu; 2; 48.870543, 2.339361; maison; Muffat; inexacte; vécu; droite; fictif
Zola; Nanà; XIII; chez Nanà; Avenue de Villiers; 17; 48.883235, 2.306841; maison; Nanà, Foucarmont, Muffat; inexacte; vécu; droite; fictif
Zola; Nanà; XIII; Bois de Boulogne; Bois de Boulogne; 16; 48.864093, 2.248258; jardin publique; Nanà; inexacte; vécu; droite; réel
Zola; Nanà; XIII; Café Madrid; 6 Boulevard Montmartre; 2; 48.871732, 2.342575; café; Nanà, Lucia Stewart, Carolina Héquet, Maria Blond; exact; vécu; droite; réel
Zola; Nanà; XIII; chez Nanà; Avenue de Villiers; 17; 48.883235, 2.306841; maison; Nanà, Zoe, Muffat, Satin, Labordette, Foucarmont, Steiner, Lafaloise, marchese Chouard, Mignon; inexacte; vécu; droite; fictif
Zola; Nanà; XIII; Ospedale Lariboisière; 2 rue Ambroise Paré; 10; 48.88185, 2.354101; hôpital; Nanà, Satin; exact; vécu; droite; réel
Zola; Nanà; XIV; Théâtre de la Gaîté; 3 rue Papin; 3; 48.866784, 2.353827; théâtre; Nanà, Prullière, Fontan; exact; vécu; droite; réel
Zola; Nanà; XIV; Grand Hotel de Paris; 72 Boulevard De Strasbourg; 10; 48.875348, 2.357964; hôtel; Nanà, Rosa Mignon, Lucia Stewart, Carolina Héquet, Fauchery, Muffat, Fontan, Bianca Sivry, Gagà, Lea de Horn, Bordenave, Daguenet, Labordette, Prullière, Maria Blond, Tatan Néné, Luisa Violaine, Clarissa; exact; vécu; droite; réel
