Auteur; Titre; Chapitre; Lieu; Adresse; Arrondissement; Géoréférencement ; Qualification ; Personnages ; Indication ; Typologie ; Rive ; Attribut
Maupassant; Bel-Ami; Parte prima, VI; chez Clotilde de Marelle; rue de Verneuil; 5; 48.857955, 2.329253; maison; Duroy, monsieur de Marelle, Clotilde de Marelle, Laurine, Forestier, Madeleine Forestier; inexacte; vécu; gauche; fictif
Maupassant; Bel-Ami; Parte prima, VI; chez Forestier; 17 rue Pierre Fontaine; 9; 48.881468, 2.334175; maison; Duroy, Forestier, Madeleine Forestier, conte de Vaudrec; exact; cité; droite; fictif
Maupassant; Bel-Ami; Parte prima, VII; La Vie Française; Boulevard Poissonière; 2; 48.870917, 2.347113; rédaction; Duroy, Jacques Rival, Boisrenard, Saint-Potin, Walter; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, VII; chez Duroy; rue Boursault; 17; 48.885079, 2.318906; maison; Duroy; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, VII; chez Walter; Boulevard Malesherbes; 17; 48.887608, 2.304538; maison; Duroy, Walter; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, VII; La Vie Française; Boulevard Poissonière; 2; 48.870917, 2.347113; rédaction; Duroy, Boisrenard, Jacques Rival; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, VII; chez Duroy; rue Boursault; 17; 48.885079, 2.318906; maison; Duroy; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, VII; La Vie Française; Boulevard Poissonière; 2; 48.870917, 2.347113; rédaction; Duroy, Jacques Rival, Walter; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, VII; chez Clotilde (rue de Constantinople); 127 rue de Constantinople; 8; 48.880374, 2.319194; maison; Duroy, Clotilde de Marelle; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, VII; La Vie Française; Boulevard Poissonière; 2; 48.870917, 2.347113; rédaction; Duroy; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, VIII; chez Duroy (rue de Constantinople); 127 rue de Constantinople; 8; 48.880374, 2.319194; maison; Duroy; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, I; chez Duroy (rue de Constantinople); 127 rue de Constantinople; 8; 48.880374, 2.319194; maison; Duroy; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, I; chez Forestier; 17 rue Pierre Fontaine; 9; 48.881468, 2.334175; maison; Duroy, Madeleine Forestier; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte seconda, I; chez Duroy (rue de Constantinople); 127 rue de Constantinople; 8; 48.880374, 2.319194; maison; Duroy; exact; vécu; droite; fictif
