Auteur; Titre; Chapitre; Lieu; Adresse; Arrondissement; Géoréférencement ; Qualification ; Personnages ; Indication ; Typologie ; Rive ; Attribut
Balzac; Illusions perdues; Le Galeries de Bois; Galerie de Bois; Galerie d’Orléans; 1; 48.864101, 2.33732; rue; Lucien, Lousteau; inexacte; vécu; droite; réel
Balzac; Illusions perdues; Le Galeries de Bois; Chevet; 22 Galerie de Chartres; 1; 48.863722, 2.336607; épicerie; Lucien, Lousteau; exact; cité; droite; réel
Balzac; Illusions perdues; Le Galeries de Bois; Café Borel; 113 Galerie de Valois; 1; 48.865736, 2.338782; café; Lucien, Lousteau; exact; cité; droite; réel
Balzac; Illusions perdues; Le Galeries de Bois; Librairie Ladvocat; 195 Galerie d’Orléans; 1; 48.86397, 2.337073; libraire; Lucien, Lousteau; exact; cité; droite; réel
Balzac; Illusions perdues; Fisionomia di una bottega di libraio alle Galerie de Bois; Dauriat; Galerie de Bois (Galerie d’Orléans); 1; 48.864101, 2.33732; libraire; Lucien, Lousteau, Finot, Félicien Vernou, Emile Blondet, Nathan, Dauriat, Gabusson; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Quarta specie di libraio; Dauriat; Galerie de Bois (Galerie d’Orléans); 1; 48.864101, 2.33732; libraire; Lucien, Lousteau, Finot, Félicien Vernou, Emile Blondet, Nathan, Dauriat, Gabusson, generale Foy, Benjamin Constant; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Le quinte; Panorama-Dramatique; 48 boulevard du Temple; 3; 48.865942, 2.365551; théâtre; Lucien, Lousteau, Florine, Nathan, Vernou, Matifat; exact; vécu; droite; réel
Balzac; Illusions perdues; Le quinte; Matifat; rue des Lombard; 4; 48.859255, 2.349473; épicerie; Matifat; inexacte; cité; droite; fictif
Balzac; Illusions perdues; Utilità di droghieri; Panorama-Dramatique; 48 boulevard du Temple; 3; 48.865942, 2.365551; théâtre; Lucien, Lousteau, Finot, Matifat, Camusot, Cardot, Coralie, Florine, direttore del teatro Du Bruel; exact; vécu; droite; réel
Balzac; Illusions perdues; Utilità di droghieri; Tabar; 21 rue de Rohan; 1; 48.862732, 2.335237; restaurant; Finot; exact; cité; droite; réel
Balzac; Illusions perdues; Coralie; Panorama-Dramatique; 48 boulevard du Temple; 3; 48.865942, 2.365551; théâtre; Lucien, Florine, Coralie, Lousteau, direttore del teatro, Du Bruel, Matifat, Camusot, Cardot, Florentine; exact; vécu; droite; réel
Balzac; Illusions perdues; Coralie; Camusot; rue des Bourdonnais; 1; 48.859531, 2.344703; boutique; Camusot; inexacte; cité; droite; fictif/Users/michelesollecito/Downloads/Data export.palladio.1.2.9.json
Balzac; Illusions perdues; Coralie; chez Florine; rue René-Boulanger; 10; 48.868515, 2.360085; maison; Lucien, Lucien, Florine, Coralie, Lousteau, direttore del teatro Panorama, Du Bruel, Matifat, Camusot, Cardot, Florentine; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Come si fanno i piccoli giornali; chez Florine; rue René-Boulanger; 10; 48.868515, 2.360085; maison; Lucien, Florine, Coralie, Cardot, Florentine, Lousteau, Matifat, Camusot, Tullia, Finot, Blondet, Nathan, Vernou, Claude Vignon, Du Bruel, direttore del teatro Panorama; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; La cena; chez Florine; rue René-Boulanger; 10; 48.868515, 2.360085; maison; Lucien, Florine, Coralie, Cardot, Florentine, Lousteau, Matifat, Camusot, Tullia, Finot, Blondet, Nathan, Vernou, Claude Vignon, Du Bruel, direttore del teatro Panorama, ministro tedesco, duca de Rhétoré; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; La cena; Chevet; 22 Galerie de Chartres; 1; 48.863722, 2.336607; épicerie; Lucien, Florine, Coralie, Cardot, Florentine, Lousteau, Matifat, Camusot, Tullia, Finot, Blondet, Nathan, Vernou, Claude Vignon, Du Bruel, direttore del teatro Panorama, ministro tedesco, duca de Rhétoré; exact; cité; droite; réel
Balzac; Illusions perdues; Un interno d’attrice; chez Coralie; rue de Vendôme (rue Béranger); 3; 48.866205, 2.363635; maison; Lucien, Coralie, Bérénice, Camusot; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Un interno d’attrice; Rocher de Cancale; 59 rue Montorgueil; 2; 48.865606, 2.346925; restaurant; Coralie, Camusot; exact; cité; droite; réel
Balzac; Illusions perdues; Un interno d’attrice; Colliau; 1 rue Neuve-des-Petits-Champs; 1; 48.866105, 2.339445; boutique; Coralie; exact; cité; droite; réel
Balzac; Illusions perdues; Un interno d’attrice; Champs-Elysées; Champs-Elysées; 8; 48.870757, 2.305331; rue; Lucien, Coralie; inexacte; vécu; droite; réel
Balzac; Illusions perdues; Un interno d’attrice; Bois de Boulogne; Bois de Boulogne; 16; 48.864093, 2.248258; jardin publique; Lucien, Coralie, marchesa d’Espard, signora de Bargeton; inexacte; vécu; droite; réel
Balzac; Illusions perdues; Un interno d’attrice; Rocher de Cancale; 59 rue Montorgueil; 2; 48.865606, 2.346925; restaurant; Lucien, Coralie, Hector Merlin, signora du Val Noble, Finot, Lousteau, Florine, Matifat, Cardot, Florentine, Blondet, Nathan, Vernou, Vignon, Du Bruel, direttore teatro Panorama; exact; vécu; droite; réel
Balzac; Illusions perdues; Ultima visita al Cenacolo; Cenacolo; rue Quatre Vents; 6; 48.851742, 2.337734; maison; Lucien, Bianchon, Chrestine, D’Arthez, Giraud, Ridal; inexacte; vécu; gauche; fictif
Balzac; Illusions perdues; Una varietà di giornalista; chez Florine; rue René-Boulanger; 10; 48.868515, 2.360085; maison; Lucien, Florine, Lousteau; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Una varietà di giornalista; chez Félicien Vernou; rue Mandar; 2; 48.865653, 2.345971; maison; Lucien, Lousteau, Vernou; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Una varietà di giornalista; chez Coralie; rue de Vendôme (rue Béranger); 3; 48.866205, 2.363635; maison; Lucien, Lousteau; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Influenza degli stivali sulla vita privata; chez Coralie; rue de Vendôme (rue Béranger); 3; 48.866205, 2.363635; maison; Lucien, Coralie, Camusot; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Influenza degli stivali sulla vita privata; Gay; 6 rue de La Michodière; 2; 48.869462, 2.334705; boutique; Lucien, Coralie, Camusot; exact; cité; droite; réel
Balzac; Illusions perdues; Influenza degli stivali sulla vita privata; Very; 83 galerie de Beaujolais; 1; 48.866033, 2.338018; restaurant; Camusot, Lucien e Coralie; exact; vécu; droite; réel
Balzac; Illusions perdues; Influenza degli stivali sulla vita privata; chez Coralie; rue de Vendôme (rue Béranger); 3; 48.866205, 2.363635; maison; Lucien, Coralie; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Influenza degli stivali sulla vita privata; chez Lucien; rue Charlot; 3; 48.863553, 2.363342; maison; Lucien, Coralie; inexacte; cité; droite; fictif
Balzac; Illusions perdues; Influenza degli stivali sulla vita privata; «petit journal»; rue Saint-Fiacre; 2; 48.869873, 2.345342; rédaction; Lucien, Coralie; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Gli arcani del giornale; «petit journal»; rue Saint-Fiacre; 2; 48.869873, 2.345342; rédaction; Lucien, Coloquinta, Giroudeau, Finot, Lousteau, Vernou, Merlin; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Ri-Dauriat; Bois de Boulogne; Bois de Boulogne; 16; 48.864093, 2.248258; jardin publique; Lucien, Coralie, marchesa d’Espard, signora e Bargeton, barone Châtelet, Camusot; inexacte; vécu; droite; réel
Balzac; Illusions perdues; Ri-Dauriat; Dauriat; Galerie de Bois (Galerie d’Orléans); 1; 48.864101, 2.33732; rue; Lucien, Lousteau, Dauriat, Blondet, Nathan, Finot; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Le prime armi; «petit journal»; rue Saint-Fiacre; 2; 48.869873, 2.345342; rédaction; Lucien, Lousteau, Merlin; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Le prime armi; chez Coralie; rue de Vendôme (rue Béranger); 3; 48.866205, 2.363635; maison; Lucien, Bérénice, Coralie; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Le prime armi; «petit journal»; rue Saint-Fiacre; 2; 48.869873, 2.345342; rédaction; Lucien, Lousteau, Vernou, Merlin; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Le prime armi; Panorama-Dramatique; 48 boulevard du Temple; 3; 48.865942, 2.365551; théâtre; Lucien, Lousteau; exact; vécu; droite; réel
Balzac; Illusions perdues; L’editore dall’autore; chez Coralie; rue de Vendôme (rue Béranger); 3; 48.866205, 2.363635; maison; Lucien, Coralie, Bérénice, Dauriat; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; L’editore dall’autore; Staub; 92 Rue de Richelieu; 2; 48.870346, 2.339351; boutique; Lucien, Coralie; exact; vécu; droite; réel
Balzac; Illusions perdues; L’editore dall’autore; Bois de Boulogne; Bois de Boulogne; 16; 48.864093, 2.248258; jardin publique; Lucien, Coralie; inexacte; vécu; droite; réel
Balzac; Illusions perdues; L’editore dall’autore; Opéra; 12 Rue Le Peletier; 9; 48.872755, 2.338658; théâtre; Lucien, Coralie, Hector Merlin, signora du Val-Noble; exact; vécu; droite; réel
Balzac; Illusions perdues; Studio sull’arte di cantare la palinodia; chez Coralie; rue de Vendôme (rue Béranger); 3; 48.866205, 2.363635; maison; Lucien, Coralie, Blondet; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Studio sull’arte di cantare la palinodia; Cadran-Bleu; 27 Boulevard du Temple; 3; 48.865032, 2.365321; restaurant; Lucien, Coralie, Blondet, Lousteau, Merlin, Vernou, Bérénice; exact; cité; droite; réel
Balzac; Illusions perdues; Studio sull’arte di cantare la palinodia; Bois de Boulogne; Bois de Boulogne; 16; 48.864093, 2.248258; jardin publique; Lucien; inexacte; vécu; droite; réel
Balzac; Illusions perdues; Studio sull’arte di cantare la palinodia; Dauriat; Galerie de Bois (Galerie d’Orléans); 1; 48.864101, 2.33732; libraire; Lucien; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Studio sull’arte di cantare la palinodia; chez Coralie; rue de Vendôme (rue Béranger); 3; 48.866205, 2.363635; maison; Lucien, Coralie; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Studio sull’arte di cantare la palinodia; Bois de Boulogne; Bois de Boulogne; 16; 48.864093, 2.248258; jardin publique; Lucien, Coralie; inexacte; vécu; droite; réel
Balzac; Illusions perdues; Grandezze e servitù del giornalismo; boulevard du Temple; boulevard du Temple; 3; 48.86537, 2.365378; rue; Lucien, Coralie; inexacte; vécu; droite; réel
Balzac; Illusions perdues; Grandezze e servitù del giornalismo; Panorama-Dramatique; 48 boulevard du Temple; 3; 48.865942, 2.365551; théâtre; Lucien, Coralie; exact; vécu; droite; réel
Balzac; Illusions perdues; Grandezze e servitù del giornalismo; Ambigue-Comique; 62 Boulevard du Temple; 11; 48.866239, 2.365131; théâtre; Lucien, duca de Réthoré, Tullia; exact; vécu; droite; fictif
Balzac; Illusions perdues; Grandezze e servitù del giornalismo; «petit journal»; rue Saint-Fiacre; 2; 48.869873, 2.345342; rédaction; Lucien, Lousteau; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Il banchiere degli autori teatrali; chez Braulard; rue du Faubourg du Temple; 19; 48.872045, 2.376876; maison; Lucien, Lousteau, Braulard; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Il battesimo del giornalista; chez Coralie; rue de Vendôme (rue Béranger); 3; 48.866205, 2.363635; maison; Lucien, Coralie, Dauriat, direttore Panorama-Dramatique, Florine, Matifat, Camusot, Lousteau, Finot, Nathan, Hector Merlin, signora du Val-Noble, Vernou, Blondet, Vignon, Brideau, Mariette, Giroudeau, Cardot, Florentine, Bixiou, Tullia, Chrestien, Brideau, Ridal; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Il battesimo del giornalista; Chevet; 22 Galerie de Chartres; 1; 48.863722, 2.336607; épicerie; Lucien, Coralie, Dauriat, direttore Panorama-Dramatique, Florine, Matifat, Camusot, Lousteau, Finot, Nathan, Hector Merlin, signora du Val-Noble, Vernou, Blondet, Vignon, Brideau, Mariette, Giroudeau, Cardot, Florentine, Bixiou, Tullia, Chrestien, Brideau, Ridal; exact; cité; droite; réel
Balzac; Illusions perdues; Il bel mondo; palazzo del ministro tedesco; Faubourg Saint-Germain; 7; 48.856257, 2.32331; maison; Lucien, de Marsay, Vandenesse, Ajuda-Pinto, de Trailles, Rastiganc, duca de Maufrigneuse, Beaudenord, Manerville, contessa di Montcornet, marchesa d’Espard, ministro tedesco, des Lupeaulx; inexacte; vécu; gauche; fictif
Balzac; Illusions perdues; Il bel mondo; Opéra; 12 Rue Le Peletier; 9; 48.872755, 2.338658; théâtre; Lucien; exact; vécu; droite; réel
Balzac; Illusions perdues; Il bel mondo; chez Coralie; rue de Vendôme (rue Béranger); 3; 48.866205, 2.363635; maison; Lucien, Coralie, Rastignac e amici del “bel mondo”; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; I Viveurs; Rocher de Cancale; 59 rue Montorgueil; 2; 48.865606, 2.346925; restaurant; Lucien, Rastignac, Chatelet; exact; vécu; droite; réel
Balzac; Illusions perdues; I Viveurs; Dauriat; Galerie de Bois (Galerie d’Orléans); 1; 48.864101, 2.33732; libraire; Lucien, Dauriat; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Quinta specie di libraio; chez Coralie; rue de Vendôme (rue Béranger); 3; 48.866205, 2.363635; maison; Lucien, Coralie, Bérénice, Lousteau; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Quinta specie di libraio; Fendant e Cavalier; rue Serpente; 6; 48.852433, 2.341205; libraire; Lucien, Lousteau, Fendant, Cavalier; inexacte; vécu; gauche; fictif
Balzac; Illusions perdues; Quinta specie di libraio; Barbet; quai des Grands Augustins; 6; 48.854297, 2.343185; libraire; Lucien, Lousteau; inexacte; vécu; gauche; fictif
Balzac; Illusions perdues; Il ricatto; Barbet; quai des Grands Augustins; 6; 48.854297, 2.343185; libraire; Lucien, Lousteau; inexacte; vécu; gauche; fictif
Balzac; Illusions perdues; Gli scontisti; Barbet; quai des Grands Augustins; 6; 48.854297, 2.343185; libraire; Lucien, Lousteau; inexacte; vécu; gauche; fictif
Balzac; Illusions perdues; Gli scontisti; Chaboisseau; quai Saint-Michel; 5; 48.853334, 2.345913; libraire; Lucien, Lousteau; inexacte; vécu; gauche; fictif
Balzac; Illusions perdues; Gli scontisti; Dauriat; Galerie de Bois (Galerie d’Orléans); 1; 48.864101, 2.33732; libraire; Lucien, Lousteau; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Gli scontisti; Samanon; boulevard Poissonnière; 2; 48.870866, 2.346818; maison; Lucien e Lousteau; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Gli scontisti; Passage des Panoramas; Passage des Panoramas; 2; 48.870958, 2.341748; rue; Lucien, Lousteau; inexacte; vécu; droite; réel
Balzac; Illusions perdues; Gli scontisti; Frascati; 108 rue de Richelieu; 2; 48.871369, 2.34033; maison de jeux; Lucien, Lousteau; exact; vécu; droite; réel
Balzac; Illusions perdues; Gli scontisti; Very; 83 galerie de Beaujolais; 1; 48.866033, 2.338018; restaurant; Lucien, Lousteau; exact; vécu; droite; réel
Balzac; Illusions perdues; Gli scontisti; chez Coralie; rue de La Lune; 2; 48.869961, 2.348555; maison; Lucien; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Cambiamento di fronte; chez Coralie; rue de La Lune; 2; 48.869961, 2.348555; maison; Lucien, Coralie, Bérénice, d’Arthez, Giraud, Chrestien; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Finotterie; Vaudeville; 6 Boulevard des Capucines; 9; 48.870976, 2.333254; théâtre; Lucien, Merlin, Finot, des Lupeaulx, signor du Tillet, Nathan; exact; vécu; droite; réel
Balzac; Illusions perdues; La settimana fatale; Cocon d’or; rue des Bourdonnais; 1; 48.859531, 2.344703; boutique; Lucien, Camusot; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; La settimana fatale; chez Braulard; rue du Faubourg du Temple; 19; 48.872045, 2.376876; maison; Lucien, Braulard; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; La settimana fatale; chez D’Arthez; rue Quatre Vents; 6; 48.851742, 2.337734; maison; Lucien, d’Arthez; inexacte; vécu; gauche; fictif
